CensusTract,Urban,Pop2010,OHU2010,PovertyRate,MedianFamilyIncome,lapophalfshare,TractWhite,TractSNAP,PPC
39049000110,1,3344,1720,6.1,108000,91.72,3217,67,0.037978469
39049000120,1,3162,1533,2.3,145893,100,3016,0,0.046173308
39049000210,1,2935,1411,3.6,103409,74.92,2773,13,0.055195911
39049000220,1,3727,1643,2.4,121667,23.84,3536,10,0.051247652
39049000310,1,3147,1385,25.4,43667,19.06,2135,271,0.321576104
39049000320,1,2390,1044,12.4,52500,36.24,1923,226,0.19539749
39049000330,1,2314,1017,31.4,32703,27.61,1623,364,0.298617113
39049000410,1,2419,1220,3.2,97112,0.07,2223,10,0.081025217
39049000420,1,3139,1524,4.5,103786,56.23,2937,62,0.064351704
39049000500,1,4057,2108,18.6,87950,14.01,3509,0,0.135075179
39049000600,1,3780,1855,29.1,67143,,3255,238,0.138888889
39049000710,1,3102,1288,30,32936,54.93,1987,510,0.359445519
39049000720,1,2384,943,46.8,26224,92.24,594,410,0.750838926
39049000730,1,3090,1220,53.9,19660,100,179,616,0.942071197
39049000810,1,2540,1030,25.4,46173,25.51,1625,197,0.36023622
39049000820,1,3121,1310,31.3,43707,2.59,1496,261,0.520666453
39049000910,1,3409,1250,36.2,32159,65.08,807,473,0.763273687
39049000920,1,2069,779,34.5,36131,24.95,431,278,0.791686805
39049001000,1,5830,2380,39.5,50125,57.56,5224,100,0.103945111
39049001110,1,3688,1401,73.4,64653,79.57,2987,14,0.190075922
39049001121,1,7300,89,80.5,,37.06,6263,8,0.142054795
39049001122,1,3159,793,35.6,31125,64.9,2122,56,0.328268439
39049001200,1,4822,1709,65.7,31855,100,4328,32,0.102447117
39049001300,1,6583,2217,71.8,,92.16,5664,80,0.139602005
39049001400,1,1543,552,43.5,25142,100,217,351,0.859364874
39049001500,1,2031,733,51.3,19569,100,99,466,0.951255539
39049001600,1,1682,669,50.2,23088,27.89,477,186,0.716409037
39049001700,1,2704,1247,52.1,30985,,1668,175,0.383136095
39049001810,1,4434,1842,71.3,,,3181,38,0.282589084
39049001820,1,2598,1354,17.9,117404,,2188,74,0.157813703
39049001901,1,2031,1340,16.1,115385,10.63,1699,142,0.163466273
39049001902,1,3410,2362,8.3,82371,43.11,3072,82,0.099120235
39049002000,1,3252,1759,15.6,102500,37.73,2837,172,0.127613776
39049002100,1,1808,1198,8,136087,,1648,43,0.088495575
39049002200,1,1851,1078,19.3,70341,0.35,1455,103,0.213938412
39049002300,1,1453,570,19.3,32262,99.26,165,177,0.886441844
39049002510,1,2856,1166,22.1,44848,99.9,373,329,0.869397759
39049002520,1,2648,1303,39.1,40801,100,460,327,0.826283988
39049002600,1,4028,1615,51.9,27697,73.14,958,620,0.762164846
39049002710,1,1858,965,29.1,29107,44.73,424,273,0.771797632
39049002730,1,2104,915,22.5,34219,60.05,571,360,0.728612167
39049002740,1,2316,993,15.7,86645,100,1741,78,0.248272884
39049002750,1,2349,929,35.5,26927,58.99,694,289,0.70455513
39049002760,1,3066,1567,14.1,49821,77.55,1726,326,0.437051533
39049002770,1,1995,863,29.9,31615,37.57,541,305,0.728822055
39049002780,1,2423,1135,4.2,103636,72.47,1439,70,0.40610813
39049002800,1,2629,1173,40.1,34898,100,277,424,0.894636744
39049002900,1,2368,867,68.6,12703,100,97,677,0.959037162
39049003000,1,3105,1662,22.6,106964,14.17,2082,414,0.329468599
39049003200,1,2147,1306,11.1,133167,65.29,1801,0,0.1611551
39049003600,1,1442,694,15.1,76250,99.61,241,163,0.832871012
39049003700,1,3303,1561,27.9,52988,14.94,973,379,0.705419316
39049003800,1,1896,992,24.9,49167,55.71,949,235,0.499472574
39049004000,1,2941,2166,28.5,138519,36.2,1898,543,0.354641278
39049004200,1,1370,497,44.8,18405,95.12,503,147,0.632846715
39049004300,1,5613,2900,21,74118,74.23,4554,305,0.188669161
39049004500,1,5154,1745,37,29436,99.98,4019,707,0.220217307
39049004610,1,3368,1511,8.4,75149,77.09,2948,81,0.124703088
39049004620,1,2659,884,47.7,27431,100,1911,361,0.281308763
39049004700,1,4971,1615,40.8,29313,97.22,2697,579,0.457453229
39049004810,1,2891,1103,17.6,54350,100,2341,200,0.19024559
39049004820,1,2589,967,42.6,34306,65.55,1818,331,0.297798378
39049004900,1,5651,2129,45.7,31250,35.38,3882,590,0.313041939
39049005000,1,5205,1850,42.5,32647,17.68,4060,798,0.219980788
39049005100,1,1928,711,68.4,,98.72,817,561,0.576244813
39049005200,1,2584,1574,4.7,116250,,2315,20,0.104102167
39049005300,1,3054,1052,33.4,39063,35.83,674,304,0.779305828
39049005410,1,1362,565,55.1,24904,0.01,92,233,0.932452276
39049005420,1,2151,823,30.6,45724,40.21,177,299,0.917712692
39049005500,1,4228,1665,41.2,35625,100,339,678,0.919820246
39049005610,1,1784,677,35.8,31328,33.02,573,250,0.678811659
39049005620,1,2542,942,33.9,38773,53.58,1580,280,0.378442172
39049005700,1,3629,2114,9,146618,0,3294,128,0.092311932
39049005810,1,2548,1356,10.2,84519,12.18,2330,53,0.0855573
39049005820,1,2230,1035,13.4,57708,47.55,1973,133,0.115246637
39049005900,1,2546,949,43.4,29449,94.32,598,318,0.76512176
39049006000,1,2345,827,47.2,27404,1.38,1181,265,0.496375267
39049006100,1,2398,944,51,21797,19.63,1839,436,0.233110926
39049006220,1,6527,3166,5.3,113636,87.39,5523,22,0.153822583
39049006230,1,13127,5696,3.7,96823,74.85,9306,177,0.291079455
39049006236,1,5979,1963,1.3,205662,100,5354,0,0.104532531
39049006310,1,4439,1739,1.6,153387,100,4160,14,0.062851994
39049006321,1,4086,1642,0.7,143750,81.56,3712,8,0.091532061
39049006323,1,3318,1484,7.2,124637,53.26,2974,29,0.103676914
39049006330,1,4716,2046,1.1,102734,73.69,4357,54,0.076123834
39049006340,1,3105,1267,2.7,134886,33.55,2683,34,0.135909823
39049006351,1,3789,1846,10,72868,85.79,3246,106,0.14330958
39049006352,1,2985,1707,24.8,42625,99.92,1980,59,0.336683417
39049006353,1,4462,2370,9.5,72500,1.01,3270,314,0.267144778
39049006371,1,6472,2685,11.9,70816,66.1,4852,213,0.250309023
39049006372,1,5738,2399,13,58821,50.26,4096,357,0.286162426
