GEOID20,CBSA,METRO_NAME,HRS2020,INTERVAL2020
1073010804,13820,Birmingham,1,1
5119003308,30780,Little Rock,1,1
6001404501,41860,San Francisco,1,1
6001404600,41860,San Francisco,1,1
6001421100,41860,San Francisco,1,1
6037124000,31100,Los Angeles,1,1
6037124903,31100,Los Angeles,1,1
6037141700,31100,Los Angeles,1,1
6037143101,31100,Los Angeles,1,1
6037189704,31100,Los Angeles,1,1
6037261102,31100,Los Angeles,1,1
6037301300,31100,Los Angeles,1,1
6037311602,31100,Los Angeles,1,1
6037430600,31100,Los Angeles,1,1
6037464101,31100,Los Angeles,1,1
6037464200,31100,Los Angeles,1,1
6037571201,31100,Los Angeles,1,1
6037571300,31100,Los Angeles,1,1
6037651302,31100,Los Angeles,1,1
6037651304,31100,Los Angeles,1,1
6037670324,31100,Los Angeles,1,1
6037670326,31100,Los Angeles,1,1
6037670328,31100,Los Angeles,1,1
6037670418,31100,Los Angeles,1,1
6037700600,31100,Los Angeles,1,1
6037700700,31100,Los Angeles,1,1
8031004303,19740,Denver,1,1
8031004308,19740,Denver,1,1
9003416400,25540,Hartford,1,1
9003417400,25540,Hartford,1,1
9003497200,25540,Hartford,1,1
9003497300,25540,Hartford,1,1
9003497400,25540,Hartford,1,1
9003497500,25540,Hartford,1,1
9003497700,25540,Hartford,1,1
12031013000,27260,Jacksonville,1,1
12086003906,33100,Miami,1,1
12086003922,33100,Miami,1,1
12086004000,33100,Miami,1,1
12086004105,33100,Miami,1,1
12086004106,33100,Miami,1,1
12086006706,33100,Miami,1,1
12103024001,45300,Tampa,1,1
13089020100,12060,Atlanta,1,1
13121009803,12060,Atlanta,1,1
18097320800,26900,Indianapolis,1,1
18097321900,26900,Indianapolis,1,1
18141001200,43780,South Bend,1,1
19153002900,19780,Des Moines,1,1
19193001000,43580,Sioux City,1,1
20173003600,48620,Wichita,1,1
20173010900,48620,Wichita,1,1
21111009600,31140,Louisville/Jefferson County,1,1
22017022700,43340,Shreveport,1,1
22017022800,43340,Shreveport,1,1
22071013301,35380,New Orleans,1,1
24510270902,12580,Baltimore,1,1
25025120105,14460,Boston,1,1
26163500900,19820,Detroit,1,1
26163501000,19820,Detroit,1,1
26163538500,19820,Detroit,1,1
26163538600,19820,Detroit,1,1
26163542200,19820,Detroit,1,1
26163550900,19820,Detroit,1,1
27123035100,33460,Minneapolis,1,1
27123036300,33460,Minneapolis,1,1
29189215801,41180,St. Louis,1,1
29189216201,41180,St. Louis,1,1
29189216202,41180,St. Louis,1,1
29189216401,41180,St. Louis,1,1
29189216500,41180,St. Louis,1,1
31055003600,36540,Omaha,1,1
31055003700,36540,Omaha,1,1
31055004400,36540,Omaha,1,1
31055004500,36540,Omaha,1,1
31055004600,36540,Omaha,1,1
31055004700,36540,Omaha,1,1
31055004800,36540,Omaha,1,1
31055006604,36540,Omaha,1,1
31055006701,36540,Omaha,1,1
31109002001,30700,Lincoln,1,1
31109002400,30700,Lincoln,1,1
34021001200,45940,Trenton,1,1
36001001804,10580,Albany,1,1
36001013706,10580,Albany,1,1
36061008603,35620,New York,1,1
36061010200,35620,New York,1,1
36061010601,35620,New York,1,1
36061011401,35620,New York,1,1
36061011402,35620,New York,1,1
36061012000,35620,New York,1,1
36061012200,35620,New York,1,1
36061012800,35620,New York,1,1
36061013000,35620,New York,1,1
36061014200,35620,New York,1,1
36061015001,35620,New York,1,1
36061015002,35620,New York,1,1
36061016001,35620,New York,1,1
36081073900,35620,New York,1,1
36081074100,35620,New York,1,1
36081075702,35620,New York,1,1
36119002104,35620,New York,1,1
36119002107,35620,New York,1,1
36119006700,35620,New York,1,1
36119006802,35620,New York,1,1
37067002501,49180,Winston,1,1
37067002502,49180,Winston,1,1
37119002701,16740,Charlotte,1,1
37119002702,16740,Charlotte,1,1
39035183100,17460,Cleveland,1,1
39035183200,17460,Cleveland,1,1
39035183300,17460,Cleveland,1,1
39035183401,17460,Cleveland,1,1
39035183501,17460,Cleveland,1,1
39035183502,17460,Cleveland,1,1
39035183604,17460,Cleveland,1,1
39035183605,17460,Cleveland,1,1
39095001301,45780,Toledo,1,1
39095007600,45780,Toledo,1,1
39113010100,19380,Dayton,1,1
39113020200,19380,Dayton,1,1
39113020300,19380,Dayton,1,1
39113020400,19380,Dayton,1,1
39153506200,10420,Akron,1,1
39153507101,10420,Akron,1,1
39153507102,10420,Akron,1,1
40109106401,36420,Oklahoma City,1,1
40109980005,36420,Oklahoma City,1,1
40143004101,46140,Tulsa,1,1
40143004301,46140,Tulsa,1,1
40143004500,46140,Tulsa,1,1
41005020102,38900,Portland,1,1
42003473200,38300,Pittsburgh,1,1
42003473500,38300,Pittsburgh,1,1
42041010500,25420,Harrisburg,1,1
42045406100,37980,Philadelphia,1,1
42071011802,29540,Lancaster,1,1
42071013503,29540,Lancaster,1,1
42079200200,42540,Scranton,1,1
42079200300,42540,Scranton,1,1
42079200400,42540,Scranton,1,1
42079200500,42540,Scranton,1,1
42079200600,42540,Scranton,1,1
42079200700,42540,Scranton,1,1
42079200800,42540,Scranton,1,1
42079201000,42540,Scranton,1,1
42079201100,42540,Scranton,1,1
42079201400,42540,Scranton,1,1
42079212100,42540,Scranton,1,1
42079212300,42540,Scranton,1,1
42079212800,42540,Scranton,1,1
42079212900,42540,Scranton,1,1
42079213000,42540,Scranton,1,1
42091204300,37980,Philadelphia,1,1
42091204400,37980,Philadelphia,1,1
42101023500,37980,Philadelphia,1,1
42101027000,37980,Philadelphia,1,1
42101037500,37980,Philadelphia,1,1
42133010510,49620,York,1,1
44007013702,39300,Providence,1,1
44007015000,39300,Providence,1,1
47037017701,34980,Nashville,1,1
47037017702,34980,Nashville,1,1
47037017901,34980,Nashville,1,1
47037017902,34980,Nashville,1,1
47037018500,34980,Nashville,1,1
47065010502,16860,Chattanooga,1,1
47093007100,28940,Knoxville,1,1
48029180300,41700,San Antonio,1,1
48029180400,41700,San Antonio,1,1
48029180604,41700,San Antonio,1,1
48113007101,19100,Dallas,1,1
48113007604,19100,Dallas,1,1
48113007702,19100,Dallas,1,1
48113008102,19100,Dallas,1,1
48113019501,19100,Dallas,1,1
48113019502,19100,Dallas,1,1
48113020600,19100,Dallas,1,1
48201312601,26420,Houston,1,1
48201312602,26420,Houston,1,1
48201312603,26420,Houston,1,1
48201312700,26420,Houston,1,1
48201312902,26420,Houston,1,1
48201313000,26420,Houston,1,1
48201410703,26420,Houston,1,1
48201410705,26420,Houston,1,1
48201410706,26420,Houston,1,1
48201410801,26420,Houston,1,1
48201410802,26420,Houston,1,1
48201410900,26420,Houston,1,1
48201411901,26420,Houston,1,1
48201411902,26420,Houston,1,1
48439102201,19100,Dallas,1,1
48439104202,19100,Dallas,1,1
48439104203,19100,Dallas,1,1
48439104204,19100,Dallas,1,1
48439104301,19100,Dallas,1,1
48439105403,19100,Dallas,1,1
48453000102,19100,Dallas,1,1
48453000607,19100,Dallas,1,1
48453001604,19100,Dallas,1,1
48453001606,19100,Dallas,1,1
49035103600,41620,Salt Lake City,1,1
49035103700,41620,Salt Lake City,1,1
49035104100,41620,Salt Lake City,1,1
49035104400,41620,Salt Lake City,1,1
51760050600,40060,Richmond,1,1
55025010200,31540,Madison,1,1
4013111900,38060,Phoenix,1.01,1
6037125101,31100,Los Angeles,1.01,1
6037141306,31100,Los Angeles,1.01,1
6037194300,31100,Los Angeles,1.01,1
6037262100,31100,Los Angeles,1.01,1
6037265701,31100,Los Angeles,1.01,1
18141003200,43780,South Bend,1.01,1
20091050800,28140,Kansas City,1.01,1
20173001000,48620,Wichita,1.01,1
22017023100,43340,Shreveport,1.01,1
26163538200,19820,Detroit,1.01,1
36005029301,35620,New York,1.01,1
36119002103,35620,New York,1.01,1
36119002105,35620,New York,1.01,1
36119002201,35620,New York,1.01,1
36119002202,35620,New York,1.01,1
36119006801,35620,New York,1.01,1
39035183606,17460,Cleveland,1.01,1
39035187105,17460,Cleveland,1.01,1
40109102000,36420,Oklahoma City,1.01,1
40109102100,36420,Oklahoma City,1.01,1
40143001700,46140,Tulsa,1.01,1
42003473401,38300,Pittsburgh,1.01,1
42091202302,37980,Philadelphia,1.01,1
42101020800,37980,Philadelphia,1.01,1
48029180101,41700,San Antonio,1.01,1
48439104302,19100,Dallas,1.01,1
6037481902,31100,Los Angeles,1.02,1
12086003915,33100,Miami,1.02,1
12086006705,33100,Miami,1.02,1
13121009900,12060,Atlanta,1.02,1
19153001000,19780,Des Moines,1.02,1
27123043002,33460,Minneapolis,1.02,1
29189216402,41180,St. Louis,1.02,1
34013019400,35620,New York,1.02,1
36001001902,10580,Albany,1.02,1
36005032300,35620,New York,1.02,1
36055007802,40380,Rochester,1.02,1
42079200900,42540,Scranton,1.02,1
42091202500,37980,Philadelphia,1.02,1
42091204600,37980,Philadelphia,1.02,1
49057201400,36260,Ogden,1.02,1
