male,acedeath_1718,acejail_1718,acedomviol_1718,aceneighviol_1718,acemhealth_1718,acedrug_1718
0,2,2,2,2,2,2
0,2,2,2,2,2,2
1,1,2,2,2,1,1
0,2,2,2,1,1,1
0,2,2,2,1,1,2
0,2,1,2,2,2,2
1,2,2,2,2,2,2
1,2,2,2,2,2,2
0,2,2,2,2,2,2
1,2,2,2,2,2,2
0,2,2,2,2,2,2
0,2,2,2,2,2,2
0,2,2,2,2,2,2
0,2,2,2,2,2,2
1,2,2,2,2,2,2
1,2,2,2,2,2,2
1,2,2,2,2,2,2
0,2,2,2,2,2,2
1,2,2,2,2,2,2
1,2,2,2,2,1,1
0,2,2,2,2,2,2
1,2,2,2,2,2,1
1,2,2,2,2,2,2
1,2,2,1,2,2,1
1,2,2,2,2,2,2
1,2,2,2,2,2,2
0,2,2,2,2,2,2
1,2,2,2,2,2,2
1,2,2,2,2,2,2
0,2,2,2,2,2,2
1,2,2,2,2,2,2
0,2,2,2,2,2,2
1,2,2,2,2,2,2
1,2,2,2,2,2,2
1,2,1,1,1,1,1
1,2,2,2,2,2,2
0,2,2,2,2,2,2
0,2,2,2,2,2,2
1,2,2,2,2,2,2
0,2,2,1,2,2,2
1,2,2,2,2,2,2
0,2,2,2,2,2,2
0,2,2,2,2,2,2
0,2,2,2,2,2,2
0,2,2,2,2,2,2
1,2,2,2,2,2,2
1,2,2,2,2,2,2
0,2,2,2,1,2,2
1,2,2,2,2,2,2
1,2,1,2,2,1,1
1,2,2,2,2,2,1
0,2,2,2,2,2,2
0,2,2,2,2,2,2
0,2,2,2,2,2,2
1,2,2,2,2,2,2
1,2,1,1,2,1,1
1,2,2,2,2,2,2
0,2,2,2,2,2,2
1,2,2,2,1,2,2
0,2,2,2,2,2,2
1,2,2,2,2,2,2
0,2,2,2,2,2,2
0,2,2,2,2,2,2
0,2,2,2,2,2,2
1,2,2,2,2,2,2
1,2,2,2,2,2,2
0,2,2,2,2,2,2
0,2,2,2,2,2,2
1,2,2,2,2,2,2
0,2,2,2,2,2,2
1,2,2,2,2,2,2
0,2,2,2,2,2,2
1,2,2,2,2,2,2
1,2,2,2,2,2,2
0,2,2,2,2,2,2
0,2,2,2,2,2,2
0,2,2,2,2,2,2
1,2,2,2,2,1,2
1,2,2,2,2,2,2
1,2,2,2,2,2,2
1,2,2,2,2,2,2
1,2,2,2,2,2,2
1,2,2,2,2,2,2
0,2,2,2,2,2,2
1,2,2,2,2,1,2
0,2,2,2,2,2,2
0,2,2,2,2,2,2
0,2,2,2,2,2,2
0,1,2,2,2,2,2
1,2,2,2,2,2,2
1,2,2,2,2,2,2
0,2,2,2,2,2,2
1,2,2,2,2,2,2
0,2,1,2,2,2,2
0,2,2,2,2,2,2
1,2,2,2,2,2,1
0,2,2,2,2,1,1
0,2,2,2,2,2,2
1,2,2,2,2,2,2
1,2,2,2,2,2,2
0,2,2,2,2,2,2
0,2,2,2,2,2,2
1,2,2,2,2,2,2
0,2,2,2,2,2,1
0,2,2,2,2,2,2
0,2,2,2,2,2,2
0,2,2,2,2,2,2
1,2,2,2,2,2,1
1,2,2,2,2,2,2
0,2,2,2,2,2,2
0,2,2,2,2,2,2
0,2,2,2,2,2,2
0,1,2,2,2,1,1
1,2,2,2,2,2,2
1,2,2,2,2,2,2
1,2,2,2,2,2,2
1,2,1,2,2,2,2
1,2,2,2,2,2,2
0,2,2,2,2,2,2
1,2,2,2,2,2,2
0,2,2,2,2,2,2
1,2,2,2,2,2,2
1,2,2,2,2,2,2
0,2,2,2,2,2,2
1,1,2,2,2,2,2
0,2,2,2,2,2,2
1,2,2,2,2,2,2
0,2,1,1,2,1,2
1,2,2,2,2,2,2
0,2,2,2,2,2,2
0,2,2,2,2,2,2
0,2,2,2,2,2,2
0,2,2,2,2,2,2
1,2,2,2,2,2,2
1,2,2,2,2,2,2
0,2,2,2,2,2,2
1,2,2,2,2,2,2
1,2,2,2,2,2,2
1,2,2,2,2,2,2
1,2,2,2,2,2,2
1,2,1,2,2,1,1
1,2,2,2,2,2,2
1,2,2,2,2,2,2
0,2,2,2,2,2,2
1,2,2,2,2,2,2
1,2,2,2,2,2,2
0,2,2,2,2,2,2
1,2,2,2,2,2,2
1,2,1,2,2,2,2
0,2,2,2,2,2,2
1,2,2,2,2,2,2
0,2,2,2,2,2,2
1,2,2,2,2,1,2
0,2,2,2,2,1,2
0,2,2,2,2,2,2
1,2,2,2,2,2,2
0,2,2,2,2,2,2
1,2,2,2,2,2,2
0,2,2,2,2,2,2
0,2,2,2,2,2,2
0,2,2,2,2,2,2
1,2,2,2,2,2,2
1,2,2,2,2,1,2
1,2,1,1,1,1,1
1,2,2,2,2,2,2
1,2,2,2,2,2,2
0,2,2,1,2,2,1
1,2,2,2,2,2,2
1,2,2,2,2,2,2
0,2,1,2,1,2,1
0,2,2,2,2,2,2
1,2,2,2,1,2,1
1,1,1,2,1,1,1
1,2,2,2,2,2,2
0,2,2,1,2,1,1
1,2,2,2,2,1,2
